"","clutch_ID","maternal_prov_rate","duration_session","mother_ID","group_ID","season","female_helpers","male_helpers","brood_size","cent_female_helpers","mean_female_helpers","cent_male_helpers","mean_male_helpers","temp_above_35","rainfall"
"1","AA007",5.50083669948755,3.0912037037037,"4H-48756","AARDVARK",2015,1,0,2,0.25,0.75,0,0,5,0
"2","AY007",5.94659725813699,2.27041666666667,"4H-39163","AYEAYE",2008,0,0,1,-1.22222222222222,1.22222222222222,-0.888888888888889,0.888888888888889,5,0
"3","AY009",4.51612903225806,3.1,"4H-39163","AYEAYE",2009,1,2,1,-0.222222222222222,1.22222222222222,1.11111111111111,0.888888888888889,0,0
"4","AY012",9.62566844919786,3.11666666666667,"4H-39163","AYEAYE",2010,4,1,2,2.77777777777778,1.22222222222222,0.111111111111111,0.888888888888889,2,0
"5","AY022",4.40677966101695,2.95,"4H-39163","AYEAYE",2013,1,0,2,-0.222222222222222,1.22222222222222,-0.888888888888889,0.888888888888889,2,41
"6","AY026",3.40965796566611,3.08824074074074,"4H-39163","AYEAYE",2014,2,2,1,0.777777777777778,1.22222222222222,1.11111111111111,0.888888888888889,0,0
"7","BO012",9.99900589016127,2.54564814814815,"4H-39172","BONGO",2009,2.66666666666667,3,2,1.57142857142857,1.0952380952381,1.57142857142857,1.42857142857143,0,36.5
"8","BO013",9.14368650217707,3.06222222222222,"4H-39172","BONGO",2009,2,2,1,0.904761904761905,1.0952380952381,0.571428571428571,1.42857142857143,6,65.5
"9","BO020",5.37313432835821,3.35,"4H-39172","BONGO",2012,0,1,2,-1.0952380952381,1.0952380952381,-0.428571428571429,1.42857142857143,0,27.5
"10","BO025",3.08542043614894,2.91694444444444,"4H-39172","BONGO",2014,1,2,2,-0.0952380952380953,1.0952380952381,0.571428571428571,1.42857142857143,0,0
"11","BO027",5.95354366304087,3.03222222222222,"4H-39172","BONGO",2014,1,1,1,-0.0952380952380953,1.0952380952381,-0.428571428571429,1.42857142857143,0,0
"12","CA006",4.27779488758854,3.15,"4H-48717","CANARY",2014,0,2,2,0,0,0.4,1.6,0,0
"13","CH009",0.806451612903226,3.1,"4H-39192","CHIMP",2009,1,1,1,0,1,0,1,2,8.5
"14","CH016",9.98415213946117,2.80444444444444,"4H-48935","CHIMP",2013,0,0,2,-0.333333333333333,0.333333333333333,-1,1,0,0
"15","CH019",11.0495495495495,3.04166666666667,"4H-48935","CHIMP",2014,1,3,3,0.666666666666667,0.333333333333333,2,1,0,0
"16","DA001",5.02202643171806,3.78333333333333,"4H-48717","DASSIE",2010,0,1,1,0,0,0,1,0,0
"17","DI001",8.38986719304625,2.82777777777778,"4H-39162","DIKDIK",2007,0,0,1,-1.25,1.25,-0.833333333333333,0.833333333333333,0,0
"18","DI006",7.65693566968704,3.02009259259259,"4H-39162","DIKDIK",2008,2,1,2,0.75,1.25,0.166666666666667,0.833333333333333,5,20
"19","DI020",4.73018077835634,2.97768518518519,"4H-48858","DIKDIK",2014,2,2,2,0.8,1.2,0,2,0,0
"20","EL003",16.0413510382319,3.11694444444444,"4H-48927","ELAND",2007,0,1,3,-1.78260869565217,1.78260869565217,0.0434782608695652,0.956521739130435,2,51.25
"21","EL006",5.12057495842243,3.06111111111111,"4H-48927","ELAND",2008,3,1,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,0,0
"22","EL008",6.12879958863449,2.6875,"4H-48927","ELAND",2008,3,1,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,6,20
"23","EL015",6.20689655172414,3.38333333333333,"4H-48927","ELAND",2010,2,0,2,0.217391304347826,1.78260869565217,-0.956521739130435,0.956521739130435,3,27.5
"24","EL016",9.21045778865684,3.275,"4H-48927","ELAND",2011,2,2,2,0.217391304347826,1.78260869565217,1.04347826086957,0.956521739130435,0,0
"25","FO003",11.8085106382979,3.13333333333333,"4H-39187","FOSA",2007,0,0,3,0,0,0,0,0,27
"26","FO008",3.89910800641698,2.99814814814815,"4H-39196","FOSA",2008,0,1,1,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,0
"27","FO009",9.96271856895314,3.00833333333333,"4H-39196","FOSA",2008,0,1,2,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,12
"28","FO017",3.99447513812155,3.25833333333333,"4H-39196","FOSA",2010,4,1,2,2.42105263157895,1.57894736842105,-0.210526315789474,1.21052631578947,1,0
"29","FO018",4.72906403940887,3.38333333333333,"4H-39196","FOSA",2010,3,1,2,1.42105263157895,1.57894736842105,-0.210526315789474,1.21052631578947,3,27.5
"30","FO020",8.02053013939127,2.74064814814815,"4H-39196","FOSA",2011,1,1,2,-0.578947368421053,1.57894736842105,-0.210526315789474,1.21052631578947,0,0
"31","FO027",5.68048418408131,3.08111111111111,"4H-54927","FOSA",2014,3,1,1,0.666666666666667,2.33333333333333,-0.222222222222222,1.22222222222222,0,4
"32","FO029",5.78184678365331,3.41953703703704,"4H-54927","FOSA",2015,4,2,2,1.66666666666667,2.33333333333333,0.777777777777778,1.22222222222222,4,0.5
"33","GE003",9.76800707026072,1.99166666666667,"4H-48920","GELADA",2007,0,1,2,-1.7,1.7,-0.2,1.2,0,18
"34","GE009",7.13101463980187,3.03490740740741,"4H-48920","GELADA",2008,2,0,2,0.3,1.7,-1.2,1.2,6,22
"35","GE014",7.48914616497829,3.07111111111111,"4H-48920","GELADA",2009,3,3,2,1.3,1.7,1.8,1.2,2,8.5
"36","GE030",3.99721321872729,3.02097222222222,"4H-48772","GELADA",2014,1,3,2,0.538461538461538,0.461538461538462,0.769230769230769,2.23076923076923,0,0
"37","GE031",6.90174630589138,2.95833333333333,"4H-48772","GELADA",2014,0,3,1,-0.461538461538462,0.461538461538462,0.769230769230769,2.23076923076923,0,0
"38","GE033",7.05519385086468,3.12148148148148,"4H-48772","GELADA",2015,0,3,1,-0.461538461538462,0.461538461538462,0.769230769230769,2.23076923076923,0,10.5
"39","GE034",4.94958753437214,3.03055555555556,"4H-48772","GELADA",2015,0,2,1,-0.461538461538462,0.461538461538462,-0.230769230769231,2.23076923076923,6,0
"40","HY002",6.16216216216216,3.08333333333333,"4H-39168","HYRAX",2007,0,0,2,-1.4,1.4,-1.3,1.3,0,18
"41","HY006",5.67364452763867,2.52731481481481,"4H-39168","HYRAX",2008,2,1,1,0.6,1.4,-0.3,1.3,0,0
"42","HY007",4.75698701256624,3.02513888888889,"4H-39168","HYRAX",2008,2,2,1,0.6,1.4,0.7,1.3,5,22
"43","HY022",7.30730500599026,2.88666666666667,"4H-55183","HYRAX",2014,1,4,2,0.666666666666667,0.333333333333333,2,2,0,0
"44","IN001",5.80645161290323,1.55,"4H-48922","INDRI",2007,0,0,2,0,0,0,0,0,0
"45","IN005",6.77233610829237,2.78638888888889,"4H-48926","INDRI",2008,0,1,2,0,0,-0.888888888888889,1.88888888888889,5,20
"46","IN007",4.85335130612624,2.31722222222222,"4H-48926","INDRI",2009,0,3,1,0,0,1.11111111111111,1.88888888888889,0,0
"47","IN008",7.42881984888936,3.02583333333333,"4H-48926","INDRI",2009,0,2,2,0,0,0.111111111111111,1.88888888888889,0,17.5
"48","IN021",3.06828817869827,2.96958333333333,"4H-48714","INDRI",2014,3,2,2,0,3,0,2,0,0
"49","IN022",4.99728997289973,3.00222222222222,"4H-48714","INDRI",2014,3,2,1,0,3,0,2,0,0
"50","JA008",9.03225806451613,3.1,"4H-48721","JACKAL",2009,5,1,2,1.90909090909091,3.09090909090909,-1.27272727272727,2.27272727272727,0,0
"51","JA011",4.375,3.2,"4H-48721","JACKAL",2010,2,3,1,-1.09090909090909,3.09090909090909,0.727272727272727,2.27272727272727,1,0
"52","JA012",6.28268466080251,3.4,"4H-48721","JACKAL",2010,2,3,1,-1.09090909090909,3.09090909090909,0.727272727272727,2.27272727272727,3,27.5
"53","JE010",6.69993390614673,2.9,"4H-48730","JERBOA",2014,0,4,2,-0.363636363636364,0.363636363636364,1.54545454545455,2.45454545454545,0,12
"54","JE011",3.80393258426966,3.15,"4H-48730","JERBOA",2014,0,4,2,-0.363636363636364,0.363636363636364,1.54545454545455,2.45454545454545,0,0
"55","JE014",8.04650637206644,3.47097222222222,"4H-48730","JERBOA",2015,1,4,1,0.636363636363636,0.363636363636364,1.54545454545455,2.45454545454545,5,0.5
"56","KU003",10.8064516129032,3.1,"4H-48976","KUDU",2009,0,0,2,-0.75,0.75,-0.875,0.875,0,19
"57","KU007",4.10129949294838,3.16666666666667,"4H-48976","KUDU",2011,2,1,2,1.25,0.75,0.125,0.875,0,11
"58","KU011",7.82608695652174,3.06666666666667,"4H-55168","KUDU",2013,0,1,2,-0.4,0.4,-0.6,1.6,0,2.5
"59","LE006",7.07032373066529,2.59444444444444,"4H-39143","LEMUR",2008,1,0,1,0,1,0,0,0,0
"60","LE019",8.85564187621849,3.22069444444444,"4H-68621","LEMUR",2015,1,1,2,0,1,0,1,5,0.5
"61","MO002",8.52682421942384,2.33333333333333,"4H-48710","MOLE",2007,0,0,2,0,0,0,0,0,18.5
"62","MO017",5.96995348127812,3.07777777777778,"4H-54984","MOLE",2014,2,2,1,0,2,0,2,0,4
"63","NY006",8.78040774602826,3.02527777777778,"4H-48935","NYALA",2008,0,1,2,0,0,0.4,0.6,3,10
"64","NY017",7.13729840905579,3.02777777777778,"4H-54972","NYALA",2014,2,1,2,0.8,1.2,0.4,0.6,0,0
"65","OK001",9.03225806451613,3.1,"4H-48926","OKAPI",2007,0,0,3,0,0,0,0,0,27
"66","OK003",8.88619996218697,2.51708333333333,"4H-48766","OKAPI",2008,2,1,2,0.5,1.5,0,1,4,12
"67","OK008",12.980198019802,3.39166666666667,"4H-48766","OKAPI",2010,1,1,2,-0.5,1.5,0,1,1,0
"68","OK010",6.35805371099489,3.075,"4H-48765","OKAPI",2011,1,4,2,0.545454545454545,0.454545454545455,2.54545454545455,1.45454545454545,1,0
"69","OK016",4.28551441773032,3.14916666666667,"4H-48765","OKAPI",2014,0,1,2,-0.454545454545455,0.454545454545455,-0.454545454545455,1.45454545454545,0,0
"70","OK017",6.95266272189349,2.95833333333333,"4H-48765","OKAPI",2014,0,1,1,-0.454545454545455,0.454545454545455,-0.454545454545455,1.45454545454545,0,0
"71","PO008",10.6881991664839,3.18333333333333,"4H-48902","PORCUPINE",2011,1,2,2,0,1,0,2,9,61
"72","PO012",10.391061452514,2.98333333333333,"4H-48779","PORCUPINE",2013,0,0,1,0,0,-0.4,0.4,2,65.5
"73","PU003",15.6382978723404,3.13333333333333,"4H-48921","PUKU",2007,0,0,3,-2.25,2.25,-1.66666666666667,1.66666666666667,0,4
"74","PU005",5.32825122311981,3.12777777777778,"4H-48921","PUKU",2008,1,1,2,-1.25,2.25,-0.666666666666667,1.66666666666667,0,0
"75","PU014",4.45349201378014,3.525,"4H-48921","PUKU",2010,3,2,2,0.75,2.25,0.333333333333333,1.66666666666667,2,27.5
"76","PU015",4.23913043478261,3.06666666666667,"4H-48921","PUKU",2011,4,3,1,1.75,2.25,1.33333333333333,1.66666666666667,0,2.5
"77","QU002",10.7807486631016,2.975,"4H-48929","QUAGGA",2007,0,0,2,0,0,0,0,0,18.5
"78","QU021",1.65945213820279,3.19157407407407,"4H-48945","QUAGGA",2014,3,1,1,0.833333333333333,2.16666666666667,-0.333333333333333,1.33333333333333,0,0
"79","QU024",3.28767123287671,3.34583333333333,"4H-48945","QUAGGA",2015,4,1,1,1.83333333333333,2.16666666666667,-0.333333333333333,1.33333333333333,4,0.5
"80","RA005",6.51511638252915,2.6012037037037,"4H-39170","RATEL",2008,0,2,1,-1,1,0.0909090909090908,1.90909090909091,0,0
"81","RA008",4.83870967741935,3.1,"4H-39170","RATEL",2009,1,3,1,0,1,1.09090909090909,1.90909090909091,0,0
"82","RA009",10.568454763811,3.1225,"4H-39170","RATEL",2009,1,2,2,0,1,0.0909090909090908,1.90909090909091,0,19
"83","RA012",4.28571428571429,3.5,"4H-39170","RATEL",2010,3,0,1,2,1,-1.90909090909091,1.90909090909091,2,0
"84","RA015",2.95566502463054,3.38333333333333,"4H-54912","RATEL",2012,0,2,2,-0.923076923076923,0.923076923076923,0.461538461538461,1.53846153846154,1,0
"85","RA021",0,3,"4H-54912","RATEL",2014,2,2,2,1.07692307692308,0.923076923076923,0.461538461538461,1.53846153846154,0,0
"86","RO001",9.75767983209311,3.03722222222222,"4H-48917","ROBIN",2009,0,0,1,0,0,0,0,3,8.5
"87","RO009",1.87940485512921,3.1925,"4H-48932","ROBIN",2014,0,1,2,-0.5,0.5,0.833333333333333,0.166666666666667,0,0
"88","RO012",16.1849710081393,3.19064814814815,"4H-48932","ROBIN",2015,1,0,2,0.5,0.5,-0.166666666666667,0.166666666666667,6,0
"89","ST002",10.0934579439252,3.56666666666667,"4H-54951","STORK",2010,2,2,2,0.25,1.75,0.666666666666667,1.33333333333333,3,0
"90","ST004",7.45945945945946,3.08333333333333,"4H-54951","STORK",2010,1,2,2,-0.75,1.75,0.666666666666667,1.33333333333333,2,12.25
"91","ST019",15.7919826743876,3.14458333333333,"4H-54951","STORK",2015,3,1,2,1.25,1.75,-0.333333333333333,1.33333333333333,6,0
"92","SU005",1.80122934084738,3.05569444444444,"4H-48756","SUNI",2009,4,2,1,0.571428571428572,3.42857142857143,0.857142857142857,1.14285714285714,0,36.5
"93","SU011",3.71473354231975,3.1,"4H-48756","SUNI",2011,3,0,2,-0.428571428571428,3.42857142857143,-1.14285714285714,1.14285714285714,0,0
"94","SU015",7.29264283651087,2.96111111111111,"4H-48989","SUNI",2013,0,1,3,-0.375,0.375,-0.5,1.5,2,41
"95","SU017",8.57146986558751,3.12222222222222,"4H-48989","SUNI",2014,1,3,1,0.625,0.375,1.5,1.5,0,0
"96","TO003",4.83870967741935,3.1,"4H-39195","TOPI",2007,0,0,1,-2,2,-1.11111111111111,1.11111111111111,0,35.25
"97","TO006",5.15345399917947,3.01222222222222,"4H-39195","TOPI",2008,1,0,2,-1,2,-1.11111111111111,1.11111111111111,4,0
"98","TO007",10.7573974892839,2.93291666666667,"4H-39195","TOPI",2008,1,0,2,-1,2,-1.11111111111111,1.11111111111111,7,0
"99","TO012",7.73365511189118,3.55833333333333,"4H-39195","TOPI",2010,3,2,2,1,2,0.888888888888889,1.11111111111111,2,6.25
"100","TO025",5.24945701956263,3.12768518518519,"4H-39195","TOPI",2015,3,2,1,1,2,0.888888888888889,1.11111111111111,2,0.5
"101","UB004",5.58984361787289,3.03958333333333,"4H-39180","UBEND",2008,1,1,2,-0.416666666666667,1.41666666666667,-0.5,1.5,5,22
"102","UB005",5.36290322580645,2.08333333333333,"4H-39180","UBEND",2009,2,3,2,0.583333333333333,1.41666666666667,1.5,1.5,0,0
"103","UB008",4.1069179221041,3.34166666666667,"4H-39180","UBEND",2010,2,2,2,0.583333333333333,1.41666666666667,0.5,1.5,1,0
"104","VA001",4.87676370759021,3.00222222222222,"4H-48760","VANGA",2008,0,2,1,-1,1,1,1,4,0
"105","VA009",6.57071339173967,3.125,"4H-48760","VANGA",2010,2,0,2,1,1,-1,1,4,32.25
"106","WE003",12.192513368984,3.11666666666667,"4H-48923","WEASEL",2007,0,0,3,-1.35,1.35,-0.55,0.55,0,27
"107","WE004",4.74812186755292,3.08888888888889,"4H-48923","WEASEL",2008,2,0,2,0.65,1.35,-0.55,0.55,0,0
"108","WE005",4.26320154330824,3.05541666666667,"4H-48923","WEASEL",2008,2,0,1,0.65,1.35,-0.55,0.55,5,0
"109","WE013",6.42109657587,2.68333333333333,"4H-48923","WEASEL",2011,3,2,2,1.65,1.35,1.45,0.55,0,0
"110","WE014",5.26829268292683,3.41666666666667,"4H-48923","WEASEL",2011,3,1,1,1.65,1.35,0.45,0.55,3,61
"111","WE015",3.5,3.15,"4H-48923","WEASEL",2012,0,0,1,-1.35,1.35,-0.55,0.55,0,0
"112","WE024",5.24226277315317,3.16537037037037,"4H-48923","WEASEL",2014,0,1,2,-1.35,1.35,0.45,0.55,0,0
"113","XM005",5.23436711422073,3.06481481481481,"4H-39158","XMEN",2009,1,4,1,0.266666666666667,0.733333333333333,2.6,1.4,0,0
"114","XM011",6.33586083853702,3.55,"4H-39158","XMEN",2012,0,1,2,-0.733333333333333,0.733333333333333,-0.4,1.4,0,0
"115","XM015",12.7541903747751,3.00555555555556,"4H-39158","XMEN",2013,1,0,2,0.266666666666667,0.733333333333333,-1.4,1.4,2,65.5
"116","XM016",3.91304347826087,3.06666666666667,"4H-39158","XMEN",2014,1,1,2,0.266666666666667,0.733333333333333,-0.4,1.4,0,0
"117","YE001",16.7741935483871,1.55,"4H-48728","YETI",2009,0,0,2,-0.5,0.5,-0.75,0.75,7,65.5
"118","YE023",9.82271466456218,2.87407407407407,"4H-48728","YETI",2014,1,2,2,0.5,0.5,1.25,0.75,0,12
"119","YI005",3.11124568358272,2.90138888888889,"4H-39185","YIPPEE",2008,0,0,1,0,0,0,0,6,22
"120","YI009",13.7096774193548,3.1,"4H-39185","YIPPEE",2009,0,0,2,0,0,0,0,5,8.5
"121","YI010",5.64356435643564,3.36666666666667,"4H-55224","YIPPEE",2011,0,1,2,-0.4,0.4,0.4,0.6,1,0
"122","ZE005",3.97849462365591,3.1,"4H-48722","ZEBRA",2009,1,1,1,0.461538461538462,0.538461538461538,0.615384615384615,0.384615384615385,0,9
"123","ZE009",0,3.18333333333333,"4H-48722","ZEBRA",2011,2,1,1,1.46153846153846,0.538461538461538,0.615384615384615,0.384615384615385,1,0
"124","ZE010",4.64088397790055,3.01666666666667,"4H-48722","ZEBRA",2012,0,0,2,-0.538461538461538,0.538461538461538,-0.384615384615385,0.384615384615385,0,27.5
