"","clutches","eggs","rainfall","mother_ID","group_ID","season","female_helpers","male_helpers","cent_female_helpers","cent_male_helpers","mean_female_helpers","mean_male_helpers"
"1",2,4,280.5,"4H-48756","AARDVARK",2014,0,1,-0.123931623931624,0.450320512820513,1.12393162393162,1.54967948717949
"2",3,6,78,"4H-48756","AARDVARK",2015,0,0,0.209401709401709,-0.362179487179487,1.12393162393162,1.54967948717949
"3",3,5,235.5,"4H-39163","AYEAYE",2008,0,0,-1.16018518518519,-1.11342592592593,2.49351851851852,2.11342592592593
"4",3,5,469.5,"4H-39163","AYEAYE",2009,1,2,-0.493518518518519,0.511574074074074,2.49351851851852,2.11342592592593
"5",1,2,543.75,"4H-39163","AYEAYE",2010,4,2,2.13148148148148,0.657407407407407,2.49351851851852,2.11342592592593
"6",2,5,297,"4H-39163","AYEAYE",2011,3,1,1.08981481481481,-0.113425925925926,2.49351851851852,2.11342592592593
"7",2,5,238.5,"4H-39163","AYEAYE",2012,1,0,-0.743518518518519,-1.11342592592593,2.49351851851852,2.11342592592593
"8",4,8,415.5,"4H-39163","AYEAYE",2013,1,1,-0.493518518518519,-0.488425925925926,2.49351851851852,2.11342592592593
"9",2,4,280.5,"4H-39163","AYEAYE",2014,2,2,0.756481481481481,0.886574074074074,2.49351851851852,2.11342592592593
"10",4,8,469.5,"4H-39172","BONGO",2009,2,3,0.734375,1.55208333333333,2.41145833333333,2.11458333333333
"11",4,9,543.75,"4H-39172","BONGO",2010,3,1,1.52604166666667,0.28125,2.41145833333333,2.11458333333333
"12",1,2,297,"4H-39172","BONGO",2011,3,0,1.58854166666667,-0.96875,2.41145833333333,2.11458333333333
"13",1,2,238.5,"4H-39172","BONGO",2012,1,1,-0.203125,-0.197916666666667,2.41145833333333,2.11458333333333
"14",4,10,415.5,"4H-39172","BONGO",2013,0,0,-1.41145833333333,-0.635416666666667,2.41145833333333,2.11458333333333
"15",3,6,280.5,"4H-39172","BONGO",2014,1,1,-0.411458333333333,0.260416666666667,2.41145833333333,2.11458333333333
"16",4,8,78,"4H-39172","BONGO",2015,1,2,-0.411458333333333,0.489583333333333,2.41145833333333,2.11458333333333
"17",4,9,415.5,"4H-48717","CANARY",2013,0,1,-0.25,-0.828125,1.25,2.828125
"18",1,2,280.5,"4H-48717","CANARY",2014,0,2,-0.25,0.484375,1.25,2.828125
"19",2,4,78,"4H-48717","CANARY",2015,1,3,0.75,1.171875,1.25,2.828125
"20",2,4,235.5,"4H-39192","CHIMP",2008,0,2,-1.0327380952381,1.83357142857143,2.0327380952381,1.47892857142857
"21",3,6,469.5,"4H-39192","CHIMP",2009,1,1,-0.0327380952380953,0.521071428571429,2.0327380952381,1.47892857142857
"22",2,4,543.75,"4H-39192","CHIMP",2010,3,0,2.2172619047619,-0.478928571428571,2.0327380952381,1.47892857142857
"23",0,0,297,"4H-39192","CHIMP",2011,1,0,-0.0327380952380953,-0.478928571428571,2.0327380952381,1.47892857142857
"24",1,2,238.5,"4H-39192","CHIMP",2012,1,0,-0.0535714285714286,-0.478928571428571,2.0327380952381,1.47892857142857
"25",1,3,280.5,"4H-48935","CHIMP",2014,1,2,-0.145833333333333,0.972222222222222,2.14583333333333,2.48611111111111
"26",3,6,78,"4H-48935","CHIMP",2015,2,2,1.29166666666667,0.513888888888889,2.14583333333333,2.48611111111111
"27",3,6,238.5,"4H-48948","DASSIE",2012,0,1,0,0.347517730496454,1,1.65248226950355
"28",4,8,235.5,"4H-39162","DIKDIK",2008,2,1,0.963541666666667,-0.5625,2.03645833333333,2.5625
"29",5,10,469.5,"4H-39162","DIKDIK",2009,2,2,1.109375,0.6875,2.03645833333333,2.5625
"30",4,9,415.5,"4H-48858","DIKDIK",2013,0,2,-1.484375,0.619791666666667,2.484375,2.58854166666667
"31",3,6,280.5,"4H-48858","DIKDIK",2014,2,2,0.515625,0.411458333333333,2.484375,2.58854166666667
"32",1,2,78,"4H-48858","DIKDIK",2015,4,2,2.453125,0.223958333333333,2.484375,2.58854166666667
"33",0,0,297,"4H-48919","DIKDIK",2011,0,2,-0.142857142857143,0.305555555555556,1.14285714285714,2.90277777777778
"34",4,7,235.5,"4H-48927","ELAND",2008,3,1,0.896070075757576,-0.505208333333333,3.10392992424242,2.50520833333333
"35",3,6,469.5,"4H-48927","ELAND",2009,3,3,1.35440340909091,1.015625,3.10392992424242,2.50520833333333
"36",3,6,543.75,"4H-48927","ELAND",2010,4,2,1.54190340909091,0.015625,3.10392992424242,2.50520833333333
"37",1,2,297,"4H-48927","ELAND",2011,2,2,-0.103929924242424,0.494791666666667,3.10392992424242,2.50520833333333
"38",3,7,78,"4H-68622","ELAND",2015,2,0,-0.71875,0,3.28125,1
"39",4,5,235.5,"4H-39196","FOSA",2008,0,1,-1.59821428571429,-0.869047619047619,2.09821428571429,2.51488095238095
"40",6,10,469.5,"4H-39196","FOSA",2009,3,3,1.90178571428571,1.40178571428571,2.09821428571429,2.51488095238095
"41",2,4,543.75,"4H-39196","FOSA",2010,4,1,2.73511904761905,-0.327380952380953,2.09821428571429,2.51488095238095
"42",1,2,297,"4H-39196","FOSA",2011,1,1,0.255952380952381,-0.514880952380953,2.09821428571429,2.51488095238095
"43",2,4,238.5,"4H-39196","FOSA",2012,1,3,-0.0982142857142856,1.33928571428571,2.09821428571429,2.51488095238095
"44",1,2,280.5,"4H-54927","FOSA",2014,3,1,0.696969696969697,-0.80958230958231,3.3030303030303,2.80958230958231
"45",5,11,415.5,"4H-48772","GELADA",2013,1,1,0.40625,-1.171875,1.59375,3.171875
"46",3,6,280.5,"4H-48772","GELADA",2014,0,3,-0.21875,0.828125,1.59375,3.171875
"47",3,6,78,"4H-48772","GELADA",2015,0,3,-0.59375,0.515625,1.59375,3.171875
"48",3,6,235.5,"4H-48920","GELADA",2008,2,1,-0.983333333333333,-1.525,3.81666666666667,3.67083333333333
"49",5,10,469.5,"4H-48920","GELADA",2009,4,3,1.1,0.329166666666667,3.81666666666667,3.67083333333333
"50",5,10,543.75,"4H-48920","GELADA",2010,4,4,1.51666666666667,1.5375,3.81666666666667,3.67083333333333
"51",4,7,235.5,"4H-39168","HYRAX",2008,2,1,0.544642857142857,-0.199199507389163,2.45535714285714,2.49086617405583
"52",4,6,469.5,"4H-39168","HYRAX",2009,3,2,1.79464285714286,0.425800492610837,2.45535714285714,2.49086617405583
"53",4,8,543.75,"4H-39168","HYRAX",2010,2,3,0.482142857142857,1.32163382594417,2.45535714285714,2.49086617405583
"54",0,0,297,"4H-39168","HYRAX",2011,2,1,0.544642857142857,-0.220032840722496,2.45535714285714,2.49086617405583
"55",1,2,238.5,"4H-39168","HYRAX",2012,1,2,-0.455357142857143,0.446633825944171,2.45535714285714,2.49086617405583
"56",1,2,280.5,"4H-55183","HYRAX",2014,1,4,0.0119047619047619,1.47222222222222,1.98809523809524,3.52777777777778
"57",3,6,78,"4H-55183","HYRAX",2015,2,3,1.01190476190476,0.0555555555555558,1.98809523809524,3.52777777777778
"58",2,4,235.5,"4H-48926","INDRI",2008,0,1,-1.30089769647696,-0.836805555555555,2.30089769647696,2.83680555555556
"59",4,7,469.5,"4H-48926","INDRI",2009,0,2,-1.30089769647696,0.621527777777778,2.30089769647696,2.83680555555556
"60",3,6,543.75,"4H-48926","INDRI",2010,3,4,1.69910230352304,1.91319444444444,2.30089769647696,2.83680555555556
"61",1,2,297,"4H-48926","INDRI",2011,3,3,1.5532689701897,0.975694444444445,2.30089769647696,2.83680555555556
"62",3,6,235.5,"4H-48721","JACKAL",2008,1,1,-0.509259259259259,-0.219907407407407,2.50925925925926,2.46990740740741
"63",3,6,469.5,"4H-48721","JACKAL",2009,5,1,3.01157407407407,-0.469907407407407,2.50925925925926,2.46990740740741
"64",2,4,543.75,"4H-48721","JACKAL",2010,4,3,2.09490740740741,1.53009259259259,2.50925925925926,2.46990740740741
"65",1,2,297,"4H-48721","JACKAL",2011,0,3,-1.50925925925926,1.90509259259259,2.50925925925926,2.46990740740741
"66",1,2,238.5,"4H-48721","JACKAL",2012,0,2,-1.50925925925926,0.530092592592593,2.50925925925926,2.46990740740741
"67",5,13,415.5,"4H-48721","JACKAL",2013,0,1,-1.50925925925926,-0.574074074074074,2.50925925925926,2.46990740740741
"68",1,2,280.5,"4H-48721","JACKAL",2014,1,0,-0.509259259259259,-1.46990740740741,2.50925925925926,2.46990740740741
"69",2,3,78,"4H-48721","JACKAL",2015,3,1,1.94907407407407,-0.761574074074074,2.50925925925926,2.46990740740741
"70",1,2,238.5,"4H-48730","JERBOA",2012,1,1,0.604166666666667,-1.53333333333333,1.39583333333333,3.11666666666667
"71",5,12,415.5,"4H-48730","JERBOA",2013,0,1,-0.395833333333333,-1.11666666666667,1.39583333333333,3.11666666666667
"72",2,5,280.5,"4H-48730","JERBOA",2014,0,4,-0.395833333333333,1.88333333333333,1.39583333333333,3.11666666666667
"73",4,7,78,"4H-48730","JERBOA",2015,1,4,0.583333333333333,1.88333333333333,1.39583333333333,3.11666666666667
"74",0,0,297,"4H-48714","KITE",2011,0,0,0,0.167708333333333,1,1.14479166666667
"75",0,0,238.5,"4H-48714","KITE",2012,0,0,0,-0.144791666666667,1,1.14479166666667
"76",3,5,469.5,"4H-48976","KUDU",2009,0,0,-0.760416666666667,-0.989583333333333,1.76041666666667,1.98958333333333
"77",2,4,543.75,"4H-48976","KUDU",2010,2,2,1.23958333333333,0.572916666666667,1.76041666666667,1.98958333333333
"78",0,0,297,"4H-48976","KUDU",2011,2,1,1.23958333333333,0.0104166666666667,1.76041666666667,1.98958333333333
"79",1,2,238.5,"4H-48976","KUDU",2012,1,2,-0.197916666666667,1.38541666666667,1.76041666666667,1.98958333333333
"80",2,4,280.5,"4H-55168","KUDU",2014,2,3,0.541666666666667,0.458333333333333,2.45833333333333,3.72916666666667
"81",3,6,78,"4H-55168","KUDU",2015,2,4,0.916666666666667,1.27083333333333,2.45833333333333,3.72916666666667
"82",2,3,235.5,"4H-39143","LEMUR",2008,1,0,-0.427380952380952,-0.308333333333333,2.42738095238095,1.30833333333333
"83",3,7,469.5,"4H-39143","LEMUR",2009,3,1,1.98928571428571,0.233333333333333,2.42738095238095,1.30833333333333
"84",2,6,543.75,"4H-39143","LEMUR",2010,2,0,0.614285714285714,-0.308333333333333,2.42738095238095,1.30833333333333
"85",1,2,78,"4H-68621","LEMUR",2015,1,1,0.264705882352941,0.000612745098039102,1.73529411764706,2.35355392156863
"86",0,0,543.75,"4H-48783","MCSPARROW",2010,0,0,0,-0.379166666666667,1,1.37916666666667
"87",0,0,297,"4H-48783","MCSPARROW",2011,0,1,0,0.620833333333333,1,1.37916666666667
"88",0,0,238.5,"4H-48783","MCSPARROW",2012,0,1,0,0.516666666666667,1,1.37916666666667
"89",3,8,235.5,"4H-39176","MOLE",2008,0,0,-0.5,-1,1.5,2
"90",3,5,469.5,"4H-39176","MOLE",2009,1,1,0.5,0,1.5,2
"91",1,1,238.5,"4H-54972","MOLE",2012,0,1,-0.255555555555556,0.263888888888889,1.25555555555556,1.63194444444444
"92",2,4,280.5,"4H-54984","MOLE",2014,2,2,1.09722222222222,0.666666666666667,1.90277777777778,2.33333333333333
"93",2,4,78,"4H-54984","MOLE",2015,1,2,-0.194444444444444,0.666666666666667,1.90277777777778,2.33333333333333
"94",2,3,235.5,"4H-48935","NYALA",2008,0,1,-0.0416666666666667,-0.104166666666667,1.04166666666667,2.10416666666667
"95",3,6,469.5,"4H-48935","NYALA",2009,0,3,-0.0416666666666667,1.70833333333333,1.04166666666667,2.10416666666667
"96",3,6,543.75,"4H-48935","NYALA",2010,0,3,0.25,1.66666666666667,1.04166666666667,2.10416666666667
"97",1,3,297,"4H-48935","NYALA",2011,0,0,-0.0416666666666667,-0.958333333333333,1.04166666666667,2.10416666666667
"98",0,0,238.5,"4H-48935","NYALA",2012,0,1,-0.0416666666666667,-0.104166666666667,1.04166666666667,2.10416666666667
"99",2,4,280.5,"4H-54972","NYALA",2014,2,1,0.173611111111111,0.333333333333333,2.82638888888889,1.66666666666667
"100",3,5,78,"4H-54972","NYALA",2015,3,1,1.65277777777778,0.333333333333333,2.82638888888889,1.66666666666667
"101",1,2,238.5,"4H-48765","OKAPI",2012,1,1,0.404166666666667,-0.278490990990991,1.59583333333333,2.15349099099099
"102",4,8,415.5,"4H-48765","OKAPI",2013,0,0,-0.595833333333333,-1.15349099099099,1.59583333333333,2.15349099099099
"103",2,4,280.5,"4H-48765","OKAPI",2014,0,1,-0.595833333333333,-0.153490990990991,1.59583333333333,2.15349099099099
"104",3,6,78,"4H-48765","OKAPI",2015,1,0,0.383333333333333,-0.882657657657658,1.59583333333333,2.15349099099099
"105",4,8,469.5,"4H-48766","OKAPI",2009,3,1,0.854166666666667,-0.75,2.6875,2.75
"106",1,2,543.75,"4H-48766","OKAPI",2010,1,1,-0.479166666666667,-0.75,2.6875,2.75
"107",4,6,415.5,"4H-48779","PORCUPINE",2013,0,1,-0.208333333333333,-0.209535256410256,1.5,1.81370192307692
"108",2,3,280.5,"4H-48779","PORCUPINE",2014,1,1,0.208333333333333,0.373798076923077,1.5,1.81370192307692
"109",1,2,78,"4H-48779","PORCUPINE",2015,0,1,-0.5,0.45713141025641,1.5,1.81370192307692
"110",3,6,543.75,"4H-48902","PORCUPINE",2010,2,0,0.645833333333333,-1.25,2.35416666666667,2.25
"111",2,4,297,"4H-48902","PORCUPINE",2011,1,2,0.0625,0.75,2.35416666666667,2.25
"112",3,6,235.5,"4H-48921","PUKU",2008,1,1,-0.773809523809524,-0.457837301587301,2.77380952380952,2.4578373015873
"113",4,9,469.5,"4H-48921","PUKU",2009,2,2,-0.0654761904761902,0.292162698412699,2.77380952380952,2.4578373015873
"114",3,6,543.75,"4H-48921","PUKU",2010,3,2,0.767857142857143,0.937996031746032,2.77380952380952,2.4578373015873
"115",1,2,297,"4H-48921","PUKU",2011,4,3,1.97619047619048,1.75049603174603,2.77380952380952,2.4578373015873
"116",5,9,415.5,"4H-54977","PUKU",2013,0,0,0.333333333333333,-0.333333333333333,0.666666666666667,1.33333333333333
"117",2,3,469.5,"4H-39147","QUAGGA",2009,0,0,0,-0.652777777777778,1,1.79861111111111
"118",2,3,297,"4H-48945","QUAGGA",2011,0,1,-1.38194444444444,-0.218055555555555,2.38194444444444,2.21805555555556
"119",2,4,238.5,"4H-48945","QUAGGA",2012,0,2,-1.38194444444444,0.781944444444445,2.38194444444444,2.21805555555556
"120",5,10,415.5,"4H-48945","QUAGGA",2013,1,1,-0.381944444444445,-0.384722222222222,2.38194444444444,2.21805555555556
"121",3,6,280.5,"4H-48945","QUAGGA",2014,3,1,2.09722222222222,0.156944444444445,2.38194444444444,2.21805555555556
"122",3,6,78,"4H-48945","QUAGGA",2015,4,1,2.43055555555556,-0.218055555555555,2.38194444444444,2.21805555555556
"123",3,6,235.5,"4H-39170","RATEL",2008,0,2,-1.38620689655172,0.333333333333333,2.38620689655172,2.66666666666667
"124",3,5,469.5,"4H-39170","RATEL",2009,1,2,-0.386206896551724,0.4375,2.38620689655172,2.66666666666667
"125",3,6,543.75,"4H-39170","RATEL",2010,3,0,1.61379310344828,-1.4375,2.38620689655172,2.66666666666667
"126",4,8,415.5,"4H-54912","RATEL",2013,0,1,-1.17708333333333,-0.484375,2.17708333333333,2.484375
"127",2,4,280.5,"4H-54912","RATEL",2014,2,2,0.822916666666667,0.390625,2.17708333333333,2.484375
"128",2,4,78,"4H-54912","RATEL",2015,3,1,1.53125,-0.421875,2.17708333333333,2.484375
"129",1,2,543.75,"4H-48917","ROBIN",2010,1,0,0.25,-0.25,1.75,1.25
"130",0,0,297,"4H-48917","ROBIN",2011,1,0,0.25,-0.25,1.75,1.25
"131",5,11,415.5,"4H-48932","ROBIN",2013,0,0,-0.25,-0.338541666666667,1.25,1.33854166666667
"132",2,4,280.5,"4H-48932","ROBIN",2014,0,1,-0.25,0.661458333333333,1.25,1.33854166666667
"133",2,4,78,"4H-48932","ROBIN",2015,1,0,0.75,0.015625,1.25,1.33854166666667
"134",3,6,543.75,"4H-54951","STORK",2010,2,1,-0.122023809523809,0.717261904761905,2.64285714285714,1.7827380952381
"135",2,4,297,"4H-54951","STORK",2011,2,1,0.357142857142857,-0.157738095238095,2.64285714285714,1.7827380952381
"136",2,4,238.5,"4H-54951","STORK",2012,1,1,-0.163690476190476,0.696428571428571,2.64285714285714,1.7827380952381
"137",5,9,415.5,"4H-54951","STORK",2013,0,0,-1.64285714285714,-0.324404761904762,2.64285714285714,1.7827380952381
"138",1,2,280.5,"4H-54951","STORK",2014,2,1,-0.122023809523809,-0.178571428571428,2.64285714285714,1.7827380952381
"139",2,5,78,"4H-54951","STORK",2015,3,1,1.33630952380952,0.0297619047619049,2.64285714285714,1.7827380952381
"140",3,6,469.5,"4H-48756","SUNI",2009,3,2,1.05833333333333,1.2375,3.35833333333333,1.7625
"141",3,3,543.75,"4H-48756","SUNI",2010,3,2,0.641666666666667,0.8,3.35833333333333,1.7625
"142",2,4,297,"4H-48756","SUNI",2011,3,0,0.641666666666667,-0.7625,3.35833333333333,1.7625
"143",1,2,238.5,"4H-48756","SUNI",2012,2,0,0.0166666666666666,-0.5125,3.35833333333333,1.7625
"144",2,4,280.5,"4H-48989","SUNI",2014,1,3,0.666666666666667,1.08201058201058,1.33333333333333,3.25132275132275
"145",2,4,543.75,"4H-54906","TIT",2010,0,0,-0.696428571428571,-0.821428571428571,1.69642857142857,1.82142857142857
"146",0,0,297,"4H-54906","TIT",2011,0,1,-0.696428571428571,0.178571428571429,1.69642857142857,1.82142857142857
"147",1,2,238.5,"4H-54906","TIT",2012,0,1,-0.696428571428571,0.553571428571429,1.69642857142857,1.82142857142857
"148",4,7,415.5,"4H-54906","TIT",2013,0,0,-0.696428571428571,-0.446428571428571,1.69642857142857,1.82142857142857
"149",2,4,280.5,"4H-54906","TIT",2014,2,1,1.30357142857143,0.178571428571429,1.69642857142857,1.82142857142857
"150",2,3,78,"4H-54906","TIT",2015,3,1,2.17857142857143,0.178571428571429,1.69642857142857,1.82142857142857
"151",3,4,235.5,"4H-39195","TOPI",2008,1,0,-1.35416666666667,-1.71527777777778,3.35416666666667,2.71527777777778
"152",3,6,469.5,"4H-39195","TOPI",2009,3,1,0.645833333333333,-0.340277777777778,3.35416666666667,2.71527777777778
"153",2,4,543.75,"4H-39195","TOPI",2010,3,3,0.895833333333333,1.72222222222222,3.35416666666667,2.71527777777778
"154",1,2,297,"4H-39195","TOPI",2011,3,3,1.04166666666667,1.28472222222222,3.35416666666667,2.71527777777778
"155",2,4,238.5,"4H-39195","TOPI",2012,2,3,-0.354166666666667,1.18055555555556,3.35416666666667,2.71527777777778
"156",4,8,415.5,"4H-39195","TOPI",2013,3,1,0.1875,-0.381944444444444,3.35416666666667,2.71527777777778
"157",2,4,280.5,"4H-39195","TOPI",2014,3,1,0.645833333333333,-0.319444444444444,3.35416666666667,2.71527777777778
"158",3,6,78,"4H-39195","TOPI",2015,3,2,0.645833333333333,0.284722222222222,3.35416666666667,2.71527777777778
"159",2,5,235.5,"4H-39180","UBEND",2008,1,1,-0.453320802005012,-0.351190476190476,2.45332080200501,2.35119047619048
"160",3,6,469.5,"4H-39180","UBEND",2009,2,2,0.0883458646616542,0.982142857142857,2.45332080200501,2.35119047619048
"161",2,4,543.75,"4H-39180","UBEND",2010,2,3,0.546679197994988,1.62797619047619,2.45332080200501,2.35119047619048
"162",1,2,297,"4H-39180","UBEND",2011,2,2,0.546679197994988,0.919642857142857,2.45332080200501,2.35119047619048
"163",2,4,238.5,"4H-39180","UBEND",2012,2,1,0.546679197994988,-0.476190476190476,2.45332080200501,2.35119047619048
"164",3,7,78,"4H-48732","UBEND",2015,0,2,-0.364583333333333,1,1.63541666666667,2
"165",5,12,469.5,"4H-48760","VANGA",2009,1,2,-0.6875,0.00416666666666643,2.60416666666667,2.85
"166",2,4,543.75,"4H-48760","VANGA",2010,2,0,0.583333333333333,-1.85,2.60416666666667,2.85
"167",2,5,297,"4H-48760","VANGA",2011,3,2,1.3125,0.545833333333333,2.60416666666667,2.85
"168",4,8,415.5,"4H-48827","VANGA",2013,0,0,-0.927083333333333,-0.5,1.92708333333333,1.5
"169",3,8,280.5,"4H-48827","VANGA",2014,2,1,1.07291666666667,0.5,1.92708333333333,1.5
"170",5,10,78,"4H-48827","VANGA",2015,1,1,-0.21875,0.5,1.92708333333333,1.5
"171",2,4,235.5,"4H-48923","WEASEL",2008,2,0,0.349537037037037,-0.953703703703704,2.65046296296296,1.9537037037037
"172",3,6,469.5,"4H-48923","WEASEL",2009,3,1,1.2037037037037,0.0462962962962963,2.65046296296296,1.9537037037037
"173",3,6,543.75,"4H-48923","WEASEL",2010,5,3,3.28703703703704,2.1087962962963,2.65046296296296,1.9537037037037
"174",1,2,297,"4H-48923","WEASEL",2011,3,2,1.34953703703704,0.858796296296296,2.65046296296296,1.9537037037037
"175",1,1,238.5,"4H-48923","WEASEL",2012,1,1,-0.587962962962963,-0.099537037037037,2.65046296296296,1.9537037037037
"176",6,14,415.5,"4H-48923","WEASEL",2013,0,0,-1.65046296296296,-0.953703703703704,2.65046296296296,1.9537037037037
"177",2,4,280.5,"4H-48923","WEASEL",2014,0,1,-1.65046296296296,0.0462962962962963,2.65046296296296,1.9537037037037
"178",1,3,78,"4H-48923","WEASEL",2015,1,1,-0.650462962962963,-0.099537037037037,2.65046296296296,1.9537037037037
"179",0,0,297,"4H-54984","XBOX",2011,0,0,-0.078125,-0.109375,1.078125,1.296875
"180",0,0,238.5,"4H-54984","XBOX",2012,0,1,0.234375,0.703125,1.078125,1.296875
"181",2,4,235.5,"4H-39158","XMEN",2008,0,2,-0.393518518518519,1.25462962962963,1.39351851851852,2.16203703703704
"182",3,6,469.5,"4H-39158","XMEN",2009,0,3,-0.0393518518518519,1.69212962962963,1.39351851851852,2.16203703703704
"183",2,4,543.75,"4H-39158","XMEN",2010,0,1,-0.393518518518519,-0.453703703703704,1.39351851851852,2.16203703703704
"184",0,0,297,"4H-39158","XMEN",2011,0,1,-0.393518518518519,0.192129629629629,1.39351851851852,2.16203703703704
"185",1,2,238.5,"4H-39158","XMEN",2012,0,1,-0.393518518518519,-0.120370370370371,1.39351851851852,2.16203703703704
"186",4,10,415.5,"4H-39158","XMEN",2013,1,0,0.773148148148148,-0.80787037037037,1.39351851851852,2.16203703703704
"187",3,6,280.5,"4H-39158","XMEN",2014,1,1,0.606481481481481,-0.453703703703704,1.39351851851852,2.16203703703704
"188",3,8,78,"4H-39158","XMEN",2015,1,1,0.627314814814815,-0.141203703703704,1.39351851851852,2.16203703703704
"189",1,2,543.75,"4H-48728","YETI",2010,1,0,-0.252976190476191,-0.776785714285714,2.25297619047619,1.77678571428571
"190",1,2,297,"4H-48728","YETI",2011,2,1,0.747023809523809,0.119047619047619,2.25297619047619,1.77678571428571
"191",1,2,238.5,"4H-48728","YETI",2012,1,0,0.101190476190476,-0.380952380952381,2.25297619047619,1.77678571428571
"192",3,6,415.5,"4H-48728","YETI",2013,0,0,-0.836309523809524,-0.776785714285714,2.25297619047619,1.77678571428571
"193",2,4,280.5,"4H-48728","YETI",2014,1,2,-0.252976190476191,1.22321428571429,2.25297619047619,1.77678571428571
"194",2,4,78,"4H-48728","YETI",2015,3,2,1.74702380952381,1.36904761904762,2.25297619047619,1.77678571428571
"195",2,4,235.5,"4H-39185","YIPPEE",2008,0,0,-0.232142857142857,-0.705965909090909,1.23214285714286,1.70596590909091
"196",3,6,469.5,"4H-39185","YIPPEE",2009,0,1,-0.232142857142857,-0.0184659090909092,1.23214285714286,1.70596590909091
"197",0,0,238.5,"4H-55224","YIPPEE",2012,1,1,-0.1375,-0.5,2.1375,2.5
"198",2,4,415.5,"4H-55224","YIPPEE",2013,1,0,-0.1375,-1.04166666666667,2.1375,2.5
"199",0,0,280.5,"4H-55224","YIPPEE",2014,2,2,0.8625,0.5,2.1375,2.5
"200",1,1,78,"4H-55224","YIPPEE",2015,2,3,0.55,1.54166666666667,2.1375,2.5
"201",1,2,235.5,"4H-48722","ZEBRA",2008,1,0,0.138888888888889,-0.699074074074074,1.86111111111111,1.69907407407407
"202",4,7,469.5,"4H-48722","ZEBRA",2009,1,1,0.138888888888889,0.300925925925926,1.86111111111111,1.69907407407407
"203",1,2,543.75,"4H-48722","ZEBRA",2010,2,2,1.13888888888889,0.821759259259259,1.86111111111111,1.69907407407407
"204",1,1,297,"4H-48722","ZEBRA",2011,2,1,0.951388888888889,0.300925925925926,1.86111111111111,1.69907407407407
"205",1,2,238.5,"4H-48722","ZEBRA",2012,1,1,0.0763888888888888,-0.0740740740740742,1.86111111111111,1.69907407407407
"206",3,6,415.5,"4H-48722","ZEBRA",2013,0,0,-0.861111111111111,-0.303240740740741,1.86111111111111,1.69907407407407
"207",1,2,280.5,"4H-48722","ZEBRA",2014,0,1,-0.861111111111111,0.300925925925926,1.86111111111111,1.69907407407407
"208",2,4,78,"4H-48722","ZEBRA",2015,1,1,0.138888888888889,0.0509259259259258,1.86111111111111,1.69907407407407
